,İsim,Birim,Sorun Tipi,Sorun Açıklaması,Cevap
874,Göktuğ,Üretim,Üretim Problemleri,Ürün hattında sensör arızası tespit ettim.,Sensör bağlantılarını kontrol edin ve arızalı parçayı değiştirin. 'ÜP-825' protokolü kapsamında teknik destek alın.
875,Eren,Finans,Maddesel Problemler,Seyahat masrafım beklenen sürede iade edilmedi.,Masraf iade sürecinin tamamlanıp tamamlanmadığını kontrol edin. Gerekirse 'FIN-999' kodlu acil destek formunu doldurun.
876,Sinem,Satış,Danışma Soruları,Müşteri listemi güncellemek istiyorum.,Satış CRM üzerinden müşteri bilgilerinizi güncelleyebilirsiniz. Güncelleme sonrası 'SAT-110' onay süreci uygulanmaktadır.
877,Ahmet,Dijital Teknolojiler,Yazılım Problemleri,Ofis içi iletişim uygulaması çöktü.,Uygulamayı yeniden başlatın ve ağ bağlantınızı kontrol edin. 'DT-600' yeniden başlatma prosedürünü uygulayın.
878,Ece,İnsan Kaynakları,Danışma Soruları,Yeni çalışan oryantasyon programı ne zaman başlayacak?,"Oryantasyon programları, işe başlangıç tarihinden itibaren düzenlenmektedir. İK departmanından detaylı bilgi alabilirsiniz."
879,Furkan,Finans,Maddesel Problemler,Ödeme faturam hatalı kesildi.,Fatura detaylarını kontrol edin ve 'FIN-777' düzenleme prosedürünü uygulayarak durumu düzeltin.
880,Faruk,Dijital Teknolojiler,X Problemleri,Ağ bağlantım sık sık kopuyor.,Ağ donanımınızı ve kablo bağlantılarını kontrol edin. 'DT-880' ağ stabilizasyon prosedürünü uygulayarak IT desteği alın.
881,Göktuğ,Üretim,Üretim Problemleri,Otomatik kesme makinesinde hata oluştu.,Kesme makinesinin kalibrasyonunu kontrol edin. 'ÜP-930' hata düzeltme protokolünü uygulayarak teknik ekibi bilgilendirin.
882,Eren,Finans,Maddesel Problemler,Prim ödememde gecikme yaşanıyor.,"Prim ödemeleri, finans takvimi doğrultusunda yapılmaktadır. 'FIN-445' kontrol prosedürünü kontrol edip yetkililerle iletişime geçin."
883,Sinem,Satış,Danışma Soruları,Müşteri sipariş durumu nasıl takip edilebilir?,Satış portalındaki 'Sipariş Takibi' bölümünü kullanarak güncel sipariş durumunu görüntüleyebilirsiniz.
884,Ahmet,Dijital Teknolojiler,Yazılım Problemleri,Yeni modül kurulumu sonrası hata mesajı alıyorum.,Kurulum adımlarını gözden geçirin ve 'DT-990' kurulum kontrol prosedürünü uygulayın. Hata mesajını IT destekle paylaşın.
885,Ece,İnsan Kaynakları,Danışma Soruları,Çalışan eğitim belgelerim sisteme yüklenmiyor.,Belgelerin formatını kontrol edin ve yeniden yüklemeyi deneyin. Sorun devam ederse İK dokümantasyon ekibiyle iletişime geçin.
886,Furkan,Finans,Maddesel Problemler,Harcama raporum eksik görünüyor.,Harcamalarınızın tamamını raporlamak için 'FIN-112' formunu doldurun. Eksik kayıt varsa güncelleme yapınız.
887,Faruk,Dijital Teknolojiler,Yazılım Problemleri,Uygulama yüklemesi tamamlanmıyor.,Yükleme adımlarını kontrol edin ve internet bağlantınızı gözden geçirin. 'DT-105' yükleme rehberini uygulayın.
888,Göktuğ,Üretim,Üretim Problemleri,Rutin bakım sırasında makine durdu.,Bakım prosedürlerini kontrol edin ve makineyi yeniden başlatın. 'ÜP-210' bakım yönergesini uygulayın.
889,Eren,Finans,Maddesel Problemler,Bütçe revizyonu ile ilgili onay alamıyorum.,Bütçe revizyon süreci için 'FIN-555' onay formunu doldurmanız gerekmektedir. İlgili birimle iletişime geçiniz.
890,Sinem,Satış,Danışma Soruları,Promosyon kampanyası detaylarını nereden öğrenebilirim?,Satış portalında promosyonlar bölümünü kontrol edebilir veya satış yöneticinizle iletişim kurabilirsiniz.
891,Ahmet,Dijital Teknolojiler,Yazılım Problemleri,Veri tabanı yedeklemesi başarısız oldu.,Yedekleme ayarlarını ve disk alanını kontrol edin. 'DT-700' yedekleme prosedürünü yeniden uygulayın.
892,Ece,İnsan Kaynakları,Danışma Soruları,Çalışan motivasyon anketi ne zaman yapılacak?,"Motivasyon anketi, her çeyrek sonrasında düzenlenmektedir. İlgili tarihleri İK portalından takip edebilirsiniz."
893,Furkan,Finans,Maddesel Problemler,Vergi kesintilerimde hata olduğunu düşünüyorum.,Vergi kesinti raporunuzu kontrol edin ve 'FIN-333' düzeltme sürecini başlatın. Gerekirse finans danışmanınızla görüşün.
894,Faruk,Dijital Teknolojiler,Yazılım Problemleri,Mobil uygulama açılmıyor.,Mobil uygulamanın önbelleğini temizleyin ve 'DT-800' mobil destek prosedürünü uygulayın. Sorun devam ederse IT ekibiyle irtibata geçin.
895,Göktuğ,Üretim,Üretim Problemleri,Ambalajlama makinesi doğru çalışmıyor.,Makine ayarlarını yeniden yapılandırın ve 'ÜP-555' ambalaj kontrol protokolünü uygulayın.
896,Eren,Finans,Maddesel Problemler,Sistem üzerinden ödeme talebim görünmüyor.,Ödeme taleplerinizi kontrol edin ve 'FIN-222' sistem güncelleme raporunu inceleyin. Gerekirse destekle iletişime geçin.
897,Sinem,Satış,Danışma Soruları,Yeni müşteri sözleşmelerinin örneklerine nereden ulaşabilirim?,Satış portalında 'Sözleşme Örnekleri' bölümünü inceleyebilirsiniz. Ek bilgi için satış destek ekibiyle görüşün.
898,Ahmet,Dijital Teknolojiler,Yazılım Problemleri,Ekran kartı sürücüsünü güncelledikten sonra görüntü sorunu yaşadım.,Ekran kartı sürücüsünü eski sürüme döndürün veya 'DT-910' sürücü güncelleme yönergesini uygulayın.
899,Ece,İnsan Kaynakları,Danışma Soruları,Sosyal haklarım hakkında detaylı bilgiye nasıl ulaşabilirim?,İK portalında 'Sosyal Haklar' bölümüne bakarak tüm detayları öğrenebilirsiniz. Gerekirse İK danışmanı ile görüşün.
900,Furkan,Finans,Maddesel Problemler,Kredi başvurum neden reddedildi?,"Kredi başvuruları, şirketin finansal politikalarına göre değerlendirilir. 'FIN-444' inceleme sürecini başlatıp detaylı bilgi alabilirsiniz."
901,Faruk,Dijital Teknolojiler,Yazılım Problemleri,Ofis yazıcım bağlantı kuramıyor.,Yazıcı bağlantısını kontrol edin ve 'DT-650' yazıcı yapılandırma rehberini uygulayın. Sorun devam ederse IT destek ile iletişime geçin.
902,Göktuğ,Üretim,Üretim Problemleri,Montaj robotu doğru pozisyonlamıyor.,Robotik sistem ayarlarını kontrol edin ve 'ÜP-330' kalibrasyon prosedürünü uygulayın.
903,Eren,Finans,Maddesel Problemler,Fatura ödemelerinde çift kesinti görünüyor.,Ödeme kayıtlarınızı detaylıca inceleyin ve 'FIN-888' çifte kesinti düzeltme prosedürünü uygulayın.
904,Sinem,Satış,Danışma Soruları,Satış sonrası müşteri desteği nasıl sağlanıyor?,"Satış sonrası destek ekibi, satış portalı üzerinden yönlendirme yapmaktadır. Detaylı bilgi için ilgili dokümanlara göz atın."
905,Ahmet,Dijital Teknolojiler,Yazılım Problemleri,Sistem çökmeleri sıklaşıyor.,Sistem loglarını analiz edin ve 'DT-999' kritik hata raporunu oluşturun. Acil IT müdahalesi gerekebilir.
906,Ece,İnsan Kaynakları,Danışma Soruları,Eğitim sertifikalarım güncellenmedi.,Eğitim portalındaki bilgileri kontrol edin ve gerekirse sertifika güncelleme talebinde bulunun. İK destek hattı bilgilendirme yapacaktır.
907,Furkan,Finans,Maddesel Problemler,Yıllık bütçe raporumda tutarsızlık var.,Bütçe raporunuzu detaylıca inceleyin ve 'FIN-121' düzeltme sürecini başlatın. İlgili departman bilgilendirilecektir.
908,Faruk,Dijital Teknolojiler,Yazılım Problemleri,Veri görselleştirme aracı açılmıyor.,Veri görselleştirme aracını yeniden başlatın ve 'DT-720' görselleştirme kılavuzunu uygulayın. Gerekirse IT desteği ile görüşün.
909,Göktuğ,Üretim,Üretim Problemleri,Kalibrasyon sonucu üretim verimliliği düştü.,Üretim hattı kalibrasyon ayarlarını kontrol edin ve 'ÜP-101' verimlilik optimizasyon prosedürünü uygulayın.
910,Eren,Finans,Maddesel Problemler,"Kredi notum güncellenmedi, neden?","Finans birimi, kredi notu güncellemelerini aylık olarak yapar. 'FIN-303' kontrol sürecini takip edin ve bilgi alın."
911,Sinem,Satış,Danışma Soruları,Müşteri geri bildirimlerini nasıl analiz edebilirim?,Satış portalındaki 'Geri Bildirim' raporlarını inceleyin ve analiz araçlarını kullanın. Gerekirse eğitim alın.
912,Ahmet,Dijital Teknolojiler,Yazılım Problemleri,Yeni güvenlik yazılımı uyumsuzluk gösteriyor.,Güvenlik yazılımı ve işletim sistemi uyumluluğunu kontrol edin. 'DT-815' uyum kontrol listesini uygulayın.
913,Ece,İnsan Kaynakları,Danışma Soruları,İK sistemi üzerinden maaş bordrosunu alamıyorum.,Sistem güncellemelerini kontrol edin ve 'IK-210' bordro talep prosedürünü uygulayın. İK destek hattı ile iletişime geçin.
914,Furkan,Finans,Maddesel Problemler,Fatura tutarları uyumsuz görünüyor.,Fatura detaylarını tekrar kontrol edin ve 'FIN-666' uyum denetimi raporunu hazırlayın. Finans ekibi ile görüşün.
915,Faruk,Dijital Teknolojiler,Yazılım Problemleri,Sistem hata günlüğü boş geliyor.,Sistem log ayarlarını kontrol edin ve 'DT-555' log yeniden oluşturma prosedürünü uygulayın. IT desteğine bildirin.
916,Göktuğ,Üretim,Üretim Problemleri,Paketleme hattında sık sık duruşlar oluyor.,Hat performansını izleyin ve 'ÜP-777' operasyon kontrol prosedürünü uygulayarak sorunu raporlayın.
917,Eren,Finans,Maddesel Problemler,Giderlerim onay sürecinde takıldı.,Gider raporunuzu gözden geçirin ve 'FIN-101' acil inceleme formunu doldurun. Finans ekibi bilgilendirilecektir.
918,Sinem,Satış,Danışma Soruları,Müşteri sözleşmesi yenileme süreci nasıl işliyor?,"Satış sözleşmeleri departmanı, sözleşme yenileme sürecini detaylıca açıklar. İlgili dokümanlara başvurabilirsiniz."
919,Ahmet,Dijital Teknolojiler,Yazılım Problemleri,Yazılım lisansım doğrulanmıyor.,Lisans anahtarınızı kontrol edin ve 'DT-777' lisans doğrulama prosedürünü uygulayın. IT destek ekibiyle iletişime geçin.
920,Ece,İnsan Kaynakları,Danışma Soruları,Performans ödüllerim ne zaman açıklanacak?,"Performans ödülleri, yıllık değerlendirme toplantısında duyurulur. İK portalını takip ediniz."
921,Furkan,Finans,Maddesel Problemler,Banka transferlerimde sorun yaşıyorum.,Transfer bilgilerinizin doğruluğunu kontrol edin ve 'FIN-202' banka transferi kontrol prosedürünü uygulayın.
922,Faruk,Dijital Teknolojiler,Yazılım Problemleri,İntranet sitesi erişime kapalı.,İntranet sunucusunun durumunu kontrol edin ve 'DT-505' erişim yeniden başlatma prosedürünü uygulayın. IT ekibi bilgilendirilmelidir.
923,Göktuğ,Üretim,Üretim Problemleri,Ürün etiketleme makinesi çalışmıyor.,Etiketleme makinesinin bağlantılarını kontrol edin ve 'ÜP-888' etiketleme prosedürünü uygulayın.
924,Eren,Finans,Maddesel Problemler,Fatura ödeme tarihi yanlış girilmiş.,Fatura bilgilerinizi kontrol edin ve 'FIN-404' düzeltme prosedürünü uygulayarak gerekli düzeltmeyi yapın.
925,Sinem,Satış,Danışma Soruları,Müşteri ziyaret raporlarını nasıl oluşturabilirim?,Satış CRM sisteminde 'Ziyaret Raporları' modülünü kullanarak rapor oluşturabilirsiniz. Detaylı kullanım kılavuzuna göz atın.
926,Ahmet,Dijital Teknolojiler,Yazılım Problemleri,Sistem güncelleme sonrası uygulama açılmıyor.,Güncelleme sonrası uyumsuzluk için 'DT-1010' uyum kontrol raporunu inceleyin. Gerekirse IT ile iletişime geçin.
927,Ece,İnsan Kaynakları,Danışma Soruları,İK duyuruları neden sistemde görünmüyor?,Sistem güncellemelerini kontrol edin ve 'IK-303' duyuru güncelleme prosedürünü uygulayın. Sorun devam ederse İK destek ile iletişime geçin.
928,Furkan,Finans,Maddesel Problemler,Ödeme işlemlerim sistemde takılı kaldı.,Ödeme sürecinizi iptal edip yeniden başlatın. 'FIN-909' işlem kontrol protokolünü uygulayın ve finans ekibi ile görüşün.
929,Faruk,Dijital Teknolojiler,Yazılım Problemleri,Ofis VPN bağlantısı kurulamadı.,VPN ayarlarınızı kontrol edin ve 'DT-4040' VPN yapılandırma rehberini takip edin. Sorun devam ederse IT destekle iletişime geçin.
930,Göktuğ,Üretim,Üretim Problemleri,Üretim bandında anlık duruşlar yaşanıyor.,Üretim bandı sensörlerini kontrol edin ve 'ÜP-1000' acil müdahale prosedürünü uygulayın.
931,Eren,Finans,Maddesel Problemler,Yıllık harcama raporum eksik hesaplanmış.,Harcama kalemlerini yeniden gözden geçirin ve 'FIN-707' hesap düzeltme prosedürünü uygulayın.
932,Sinem,Satış,Danışma Soruları,Müşteri teklifleri nasıl onaylanıyor?,"Teklif onay süreci, satış yöneticisi tarafından yürütülmektedir. İlgili teklif formunu doldurup süreci başlatın."
933,Ahmet,Dijital Teknolojiler,Yazılım Problemleri,Sistem performansı son zamanlarda düştü.,Sistem kaynak kullanımını izleyin ve 'DT-111' performans analiz raporunu oluşturun. IT desteğiyle görüşün.
934,Ece,İnsan Kaynakları,Danışma Soruları,İşe alım süreci neden bu kadar uzun sürüyor?,"İşe alım süreçleri, aday havuzunun yoğunluğuna bağlıdır. İK danışmanınız süreci hızlandırmak için size bilgi verecektir."
935,Furkan,Finans,Maddesel Problemler,Seyahat harcamam fazla görünüyor.,Harcamalarınızı kontrol edin ve 'FIN-808' harcama onay prosedürünü uygulayarak durumu açıklığa kavuşturun.
936,Faruk,Dijital Teknolojiler,Yazılım Problemleri,Bulut servisi bağlantısı kesiliyor.,Bulut servisi erişim ayarlarını kontrol edin ve 'DT-1210' bulut bağlantı protokolünü uygulayın. Sorun devam ederse IT ile görüşün.
937,Mehmet,Üretim,Maddesel Problemler,Plaka Esneme Sorunu,Plaka esneme sorunu için: 1. Malzeme sıcaklığını kontrol edin 2. Kalıp gerginliğini UM-443 standardına göre ayarlayın 3. Soğutma süresini %15 artırın 4. QC-771 kalite kontrol prosedürünü uygulayın 5. Sonuçları üretim log defterine kaydedin
938,Ayşe,Kalite Kontrol,Üretim Problemleri,Plaka Çatlak Sorunu,1. Üretimi derhal durdurun 2. QC-338 test prosedürünü uygulayın 3. Malzeme parti numarasını kaydedin 4. Son 5 üretim batch'ini izole edin 5. Metalürji lab analizini talep edin (Form MT-556)
939,Ali,Üretim,X Problemleri,Yüzeylerde Silis Oluşması,Silis oluşumu için acil müdahale prosedürü: 1. Yüzey temizleme işlemi uygulayın (TC-445 protokolü) 2. pH değerlerini kontrol edin 3. Su arıtma sistemini kontrol edin 4. Kimyasal analiz için örnek alın
940,Zeynep,Kalite Kontrol,Maddesel Problemler,Metal Yüzey Pürüzlülüğü,1. Pürüzlülük ölçümü yapın (RM-334) 2. Değerleri kaydedin 3. Yüzey işlem parametrelerini kontrol edin 4. Gerekirse prosesi durdurun 5. Kalite raporu hazırlayın
941,Mustafa,Bakım,Üretim Problemleri,Hidrolik Sistem Basınç Kaybı,1. Basınç göstergelerini kontrol edin 2. Sızıntı tespiti yapın 3. HY-556 test prosedürünü uygulayın 4. Sistem yağ seviyesini kontrol edin 5. Gerekirse bakım planı oluşturun
942,Selin,Üretim,X Problemleri,Kalıp Soğutma Problemi,1. Soğutma kanallarını kontrol edin 2. Debi ölçümü yapın 3. KS-223 prosedürünü uygulayın 4. Sıcaklık sensörlerini kontrol edin 5. Gerekirse kanalları temizleyin
943,Emre,Kalite Kontrol,Maddesel Problemler,Malzeme Sertlik Sapması,1. Sertlik ölçümü yapın 2. Kalibrasyon kontrolü yapın 3. MS-445 formunu doldurun 4. Isıl işlem parametrelerini kontrol edin 5. Gerekirse parti karantinaya alın
944,Ahmet,Üretim,Üretim Problemleri,Konveyör Bant Hizalama Sorunu,1. Bant hizasını kontrol edin 2. Gerdirme ayarlarını yapın 3. KB-334 prosedürünü uygulayın 4. Test çalışması yapın 5. Gerekirse bant değişimi planlayın
945,Fatma,Bakım,X Problemleri,Motor Aşırı Isınması,1. Sıcaklık ölçümü yapın 2. Soğutma sistemini kontrol edin 3. MA-556 test prosedürünü uygulayın 4. Yük analizini yapın 5. Gerekirse motor bakımı planlayın
946,Can,Üretim,Maddesel Problemler,Kaynak Porözite Sorunu,1. Kaynak parametrelerini kontrol edin 2. Gaz analizi yapın 3. KP-223 prosedürünü uygulayın 4. Test numunesi alın 5. Gerekirse kaynak prosedürünü revize edin
947,Deniz,Kalite Kontrol,Üretim Problemleri,Kalibrasyon Sapması,1. Kalibrasyon sertifikasını kontrol edin 2. KL-445 prosedürünü uygulayın 3. Referans ölçümleri yapın 4. Sapma analizi yapın 5. Gerekirse cihazı servise gönderin
948,Berk,Üretim,X Problemleri,CNC Program Hatası,1. Program yedeklemesi alın 2. Hata kodlarını analiz edin 3. CN-334 prosedürünü uygulayın 4. Simülasyon testi yapın 5. Gerekirse programı revize edin
949,Ece,Bakım,Maddesel Problemler,Rulman Aşınması,1. Titreşim ölçümü yapın 2. Ses analizi yapın 3. RL-556 test prosedürünü uygulayın 4. Yağlama kontrolü yapın 5. Gerekirse rulman değişimi planlayın
950,Gökhan,Üretim,Üretim Problemleri,Kesici Takım Aşınması,1. Takım ölçümü yapın 2. Aşınma analizi yapın 3. KT-223 prosedürünü uygulayın 4. Kesme parametrelerini kontrol edin 5. Gerekirse takım değişimi yapın
951,Melis,Kalite Kontrol,X Problemleri,Ölçüm Cihazı Arızası,1. Cihaz diagnostiği yapın 2. Kalibrasyon kontrolü yapın 3. OC-445 prosedürünü uygulayın 4. Test ölçümleri yapın 5. Gerekirse servis çağırın
952,Kemal,Üretim,Maddesel Problemler,Malzeme Akış Problemi,1. Akış hızını ölçün 2. Sıcaklık kontrolü yapın 3. MA-334 prosedürünü uygulayın 4. Basınç kontrolü yapın 5. Gerekirse parametre optimizasyonu yapın
953,Aylin,Bakım,Üretim Problemleri,Pnömatik Sistem Arızası,1. Basınç ölçümü yapın 2. Kaçak testi yapın 3. PS-556 prosedürünü uygulayın 4. Filtre kontrolü yapın 5. Gerekirse sistem bakımı yapın
954,Burak,Üretim,X Problemleri,Robot Program Hatası,1. Program yedeklemesi alın 2. Hata kodlarını analiz edin 3. RP-223 prosedürünü uygulayın 4. Simülasyon testi yapın 5. Gerekirse programı günceleyin
